Inserted List,ORF Name,Gene Name
YOR077W,YOR077W,RTS2
YOR078W,YOR078W,BUD21
YOR079C,YOR079C,ATX2
YOR080W,YOR080W,DIA2
YOR081C,YOR081C,TGL5
YOR082C,YOR082C,YOR082C
YOR083W,YOR083W,WHI5
YOR084W,YOR084W,LPX1
YOR085W,YOR085W,OST3
YOR086C,YOR086C,TCB1
YOR087W,YOR087W,YVC1
YOR088W,YOR087W,YOR088W
YOR089C,YOR089C,VPS21
YOR090C,YOR090C,PTC5
YOR091W,YOR091W,TMA46
YOR092W,YOR092W,ECM3
YOR093C,YOR093C,CMR2
YOR094W,YOR094W,ARF3
YOR095C,YOR095C,RKI1
YOR096W,YOR096W,RPS7a
YOR097C,YOR097C,YOR097C
YOR098C,YOR098C,NUP1
YOR099W,YOR099W,KTR1
YOR100C,YOR100C,CRC1
YOR101W,YOR101W,RAS1
YOR102W,YOR102W,YOR102W
YOR103C,YOR103C,OST2
YOR104W,YOR104W,PIN2
YOR105W,YOR105W,YOR105W
YOR106W,YOR106W,VAM3
YOR107W,YOR107W,RGS2
YOR108W,YOR108W,LEU9
YOR109W,YOR109W,INP53
YOR110W,YOR110W,TFC7
YOR111W,YOR111W,YOR111W
YOR112W,YOR112W,CEX1
YOR113W,YOR113W,AZF1
YOR114W,YOR114W,YOR114W
YOR115C,YOR115C,TRS33
YOR116C,YOR116C,RPO31
YOR117W,YOR117W,RPT5
YOR118W,YOR118W,RTC5
YOR119C,YOR119C,RIO1
YOR120W,YOR120W,GCY1
YOR121C,YOR121C,YOR121C
YOR122C,YOR122C,PFY1
YOR123C,YOR123C,LEO1
YOR124C,YOR124C,UBP2
YOR125C,YOR125C,CAT5
YOR126C,YOR126C,IAH1
YOR127W,YOR127W,RGA1
YOR128C,YOR128C,ADE2
YOR129C,YOR129C,AFI1
YOR130C,YOR130C,ORT1
YOR131C,YOR131C,YOR131C
YOR132W,YOR132W,VPS17
YOR133W,YOR133W,EFT1
YOR134W,YOR134W,BAG7
YOR135C,YOR135C,YOR135C
YOR136W,YOR136W,IDH2
YOR137C,YOR137C,SIA1
YOR138C,YOR138C,RUP1
YOR139C,YOR139C,YOR139C
YOR140W,YOR140W,SFL1
YOR141C,YOR141C,ARP8
YOR142W,YOR142W,LSC1
YOR143C,YOR143C,THI80
YOR144C,YOR144C,ELG1
