tf, u0, kf0, k_prot
HSF1,0.0436405966436,0.121945508189,0.0523456275768
MSN2,0.0392442904743,0.343173321625,0.0281788889963
MSN4,0.172861821258,0.543289018822,0.0232096159202
RLM1,0.0507078354245,0.0998609134756,0.0884396362324
SWI4,0.00486403607494,0.0146434078813,0.213830584551
